,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IDUA,2.564,3.908,4.204,3.741,4.334,3.631,2.096,4.516,6.332,2.125,1.512,2.218,3.726,1.816,2.106,3.399,4.341,3.336
IER2,96.95,85.33,69.83,111.2,103.2,43.09,33.79,105.9,187.3,103.8,47.64,75.95,94.22,54.79,51.62,134.1,128.3,98.18
IER3,13.59,8.811,11.08,25.85,14.55,7.971,3.592,21.15,31.42,19.45,6.337,10.85,10.23,5.466,12.18,40.21,28.02,8.395
IER3-AS1,4.375,4.563,3.244,8.033,3.244,1.852,1.306,5.664,8.245,7.397,2.203,3.311,3.969,2.071,3.146,9.763,9.655,2.938
IER3IP1,1.628,1.791,2.898,1.88,2.675,1.926,1.266,2.988,3.937,2.391,0.9107,1.064,2.339,0.727,0.5215,1.711,2.274,2.774
IER5,5.035,5.631,7.655,7.85,6.669,4.751,3.402,9.434,13.42,7.508,2.769,4.484,7.693,2.759,4.057,5.336,8.199,8.092
IER5L,1.96,2.307,2.967,2.737,1.93,1.264,1.047,3.313,4.392,2.835,1.166,2.021,1.993,0.9596,1.853,3.849,3.689,3.21
IER5L-AS1,0.1053,0.2762,0,0.07282,0.2898,0,0.03889,0.1687,0.05209,0,0.04593,0.02031,0.0613,0.05398,0.041,0,0.1184,0
IFFO1,9.643,11.88,13.21,13.68,13.42,7.479,6.78,16.68,23.69,10.23,5.574,8.593,12.79,4.731,7.359,13.47,20.76,12.98
IFFO2,2.392,6.276,6.643,6.376,5.323,5.714,5.674,8.644,13.32,3.73,1.975,2.651,6.951,2.429,2.429,4.158,7.193,4.87
IFI16,79.31,52.13,65.5,62.95,67.07,52.72,39.33,63.67,208.7,132.3,30.43,76.61,78.96,35.77,24.01,65.36,93.18,104.1
IFI27,2.249,6.109,9.541,1.597,3.585,109,3.149,0.9486,1.933,13.88,1.627,1.85,8.479,0.6374,1.037,2.007,1.198,11.96
IFI27L1,0.2007,0.1756,0.3077,0.3906,0.5527,0.1994,0.1112,0.5629,0.596,0.3939,0.1478,0.2468,0.2411,0.1544,0.2638,0.08957,0.5363,0.4841
IFI27L2,4.926,5.808,6.755,6.668,7.47,5.891,3.561,11.67,12.08,7.397,4.906,8.924,7.671,3.295,3.629,4.588,16.38,9.25
IFI30,695.7,324.3,517,538.7,478.2,399.2,227.3,554.7,929.6,732.9,199.1,475,698.7,198.3,298.9,585.7,738.7,1101
IFI35,51.76,37.11,48.9,29.14,49.09,30.89,15.26,32.24,96.22,80.69,16.62,55.82,67.29,19.22,16.61,64.03,51.74,77.47
IFI44,11.81,13.99,17.99,6,9.612,9.467,5.84,6.499,72.16,69.03,1.876,14.43,28.65,1.679,1.275,4.521,8.904,33.16
IFI44L,11.33,13.61,17.63,4.082,8.809,18.65,6.151,4.656,48.18,67.06,1.805,12.85,26.01,1.67,0.9917,4.341,6.335,33.09
IFI6,189.9,200.3,203.5,83.81,216.7,157.8,73.37,112.6,535.5,494.9,52.39,173.4,227.5,39.32,41.47,153.5,174.2,330.4
IFIH1,17.99,13.54,17.28,13.24,16.29,8.211,7.385,11.8,56.47,31.08,4.625,15.38,24.06,5.83,3.309,11,16.42,28.63
IFIT1,19.02,31.76,31.2,10.71,29.63,24.48,14.06,17.12,128.9,116.4,6.15,14.5,29.59,3.96,2.53,12.03,23.86,30.86
IFIT1B,1.714,1.885,11.24,2.44,1.169,6.018,2.85,3.611,1.673,15.17,4.68,4.535,4.108,5.049,2.089,1.224,1.047,5.176
IFIT2,138.6,120.8,112.3,95.48,111.4,84.45,54.54,98.23,592.8,410.3,32.36,101.6,151.3,40.29,23.88,93.12,121.8,164.3
IFIT3,208.3,144.7,140.6,73.37,154.3,120.7,60.34,95.52,570.4,444.9,39.71,167.5,210.3,40.75,22.44,106.9,145.4,244.7
IFIT5,12.44,12.94,13.13,8.036,11.82,5.745,5.155,10.57,48.02,33.55,3.672,8.824,13.8,4.924,1.429,6.505,11.38,16.54
IFITM1,2855,1113,632.7,736.4,1812,968.1,608.5,1135,2483,1773,674.6,1721,1381,660.5,434.2,1469,1767,1860
IFITM10,0.3381,0.5005,0.4785,0.3239,0.5968,0.5405,0.1874,0.5419,0.8495,1.252,0.2213,0.4214,0.4998,0.1,0.2127,0.9749,0.5851,0.1912
IFITM2,7198,2734,1403,3340,5133,3107,2212,3294,5418,4050,2462,4212,2895,2241,1991,5486,4881,3253
IFITM3,6373,2056,932.4,1418,3802,1955,1259,2254,4931,3462,1370,4085,3063,1358,898.2,3698,3448,4243
IFITM4P,0.2824,0,0,0.2931,1.037,0,0.7826,0,0,0.2956,0,0,0.4934,0,0,0,0,0.519
IFITM5,0.7874,0.4592,0,0.681,0.1205,0,0.1455,0,0.3897,0,0,0.7595,0.4586,0.4038,0,0,0,0.1206
IFNA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA14,0,0,0,0,0,0,0.1066,0,0,0,0,0,0,0,0,0,0,0
IFNA16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09057
IFNA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA21,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08668
IFNA22P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
